,timestamp_start,start_y,start_x
0,2016-11-01 17:30:00,5334875.31949476,692528.541240327
1,2016-11-01 19:00:00,5334327.80837477,692655.894593871
2,2016-11-01 19:00:00,5335563.692846,689682.180909222
3,2016-11-02 18:00:00,5335017.31013438,699701.115453656
4,2016-11-02 19:00:00,5341227.7712635,693793.715532079
5,2016-11-02 19:00:00,5335486.45892593,687595.474365033
6,2016-11-02 19:00:00,5334875.31949476,692528.541240327
7,2016-11-02 20:00:00,5335486.45892593,687595.474365033
8,2016-11-02 20:00:00,5335563.692846,689682.180909222
9,2016-11-03 19:00:00,5335563.692846,689682.180909222
10,2016-11-03 19:00:00,5335486.45892593,687595.474365033
11,2016-11-03 19:00:00,5335486.45892593,687595.474365033
12,2016-11-03 19:00:00,5334875.31949476,692528.541240327
13,2016-11-03 19:00:00,5334327.80837477,692655.894593871
14,2016-11-03 19:00:00,5334327.80837477,692655.894593871
15,2016-11-03 20:00:00,5341227.7712635,693793.715532079
16,2016-11-04 09:00:00,5341539.63337759,694047.753758906
17,2016-11-04 10:00:00,5341539.63337759,694047.753758906
18,2016-11-04 16:30:00,5334875.31949476,692528.541240327
19,2016-11-04 17:30:00,5335486.45892593,687595.474365033
20,2016-11-04 18:00:00,5335017.31013438,699701.115453656
21,2016-11-04 19:00:00,5335486.45892593,687595.474365033
22,2016-11-04 19:00:00,5335486.45892593,687595.474365033
23,2016-11-04 19:00:00,5334327.80837477,692655.894593871
24,2016-11-04 19:00:00,5341227.7712635,693793.715532079
25,2016-11-04 19:30:00,5334327.80837477,692655.894593871
26,2016-11-04 20:00:00,5334875.31949476,692528.541240327
27,2016-11-05 09:00:00,5341539.63337759,694047.753758906
28,2016-11-05 10:00:00,5341539.63337759,694047.753758906
29,2016-11-05 14:30:00,5343951.16855528,694951.221362176
30,2016-11-05 16:00:00,5335486.45892593,687595.474365033
31,2016-11-05 16:30:00,5334875.31949476,692528.541240327
32,2016-11-05 18:00:00,5335017.31013438,699701.115453656
33,2016-11-05 19:00:00,5335486.45892593,687595.474365033
34,2016-11-05 20:00:00,5334327.80837477,692655.894593871
35,2016-11-05 20:00:00,5334875.31949476,692528.541240327
36,2016-11-06 09:00:00,5341539.63337759,694047.753758906
37,2016-11-06 10:00:00,5341539.63337759,694047.753758906
38,2016-11-06 13:30:00,5334875.31949476,692528.541240327
39,2016-11-06 13:30:00,5334875.31949476,692528.541240327
40,2016-11-06 17:00:00,5335017.31013438,699701.115453656
41,2016-11-06 17:30:00,5334875.31949476,692528.541240327
42,2016-11-06 17:30:00,5334875.31949476,692528.541240327
43,2016-11-06 19:00:00,5334327.80837477,692655.894593871
44,2016-11-06 19:00:00,5335563.692846,689682.180909222
45,2016-11-06 19:00:00,5335486.45892593,687595.474365033
46,2016-11-06 20:00:00,5335486.45892593,687595.474365033
47,2016-11-07 19:00:00,5334327.80837477,692655.894593871
48,2016-11-07 19:00:00,5335486.45892593,687595.474365033
49,2016-11-07 19:00:00,5333342.38036574,693987.311952082
50,2016-11-08 08:00:00,5335011.08641995,700692.645876424
51,2016-11-08 19:00:00,5335486.45892593,687595.474365033
52,2016-11-08 19:00:00,5341227.7712635,693793.715532079
53,2016-11-08 19:00:00,5335486.45892593,687595.474365033
54,2016-11-08 19:00:00,5334327.80837477,692655.894593871
55,2016-11-08 19:00:00,5335486.45892593,687595.474365033
56,2016-11-09 08:00:00,5335011.08641995,700692.645876424
57,2016-11-09 18:00:00,5335486.45892593,687595.474365033
58,2016-11-09 18:00:00,5333392.77042256,687914.199211603
59,2016-11-09 19:00:00,5335486.45892593,687595.474365033
60,2016-11-09 19:00:00,5333342.38036574,693987.311952082
61,2016-11-09 19:00:00,5334327.80837477,692655.894593871
62,2016-11-09 19:00:00,5335486.45892593,687595.474365033
63,2016-11-10 08:00:00,5335011.08641995,700692.645876424
64,2016-11-10 18:00:00,5335017.31013438,699701.115453656
65,2016-11-10 19:00:00,5335486.45892593,687595.474365033
66,2016-11-10 19:00:00,5335486.45892593,687595.474365033
67,2016-11-10 19:00:00,5334327.80837477,692655.894593871
68,2016-11-11 08:00:00,5335011.08641995,700692.645876424
69,2016-11-11 14:00:00,5341539.63337759,694047.753758906
70,2016-11-11 15:00:00,5341539.63337759,694047.753758906
71,2016-11-11 16:30:00,5334875.31949476,692528.541240327
72,2016-11-11 18:00:00,5335017.31013438,699701.115453656
73,2016-11-11 18:15:00,5333392.77042256,687914.199211603
74,2016-11-11 19:00:00,5333342.38036574,693987.311952082
75,2016-11-11 19:00:00,5335486.45892593,687595.474365033
76,2016-11-12 08:30:00,5341539.63337759,694047.753758906
77,2016-11-12 12:00:00,5341539.63337759,694047.753758906
78,2016-11-12 13:00:00,5341539.63337759,694047.753758906
79,2016-11-12 14:00:00,5335486.45892593,687595.474365033
80,2016-11-12 17:15:00,5335486.45892593,687595.474365033
81,2016-11-12 18:00:00,5335017.31013438,699701.115453656
82,2016-11-12 19:00:00,5341227.7712635,693793.715532079
83,2016-11-12 19:00:00,5334327.80837477,692655.894593871
84,2016-11-12 19:00:00,5334327.80837477,692655.894593871
85,2016-11-13 11:00:00,5341539.63337759,694047.753758906
86,2016-11-13 13:00:00,5341539.63337759,694047.753758906
87,2016-11-13 17:00:00,5333392.77042256,687914.199211603
88,2016-11-13 17:00:00,5335017.31013438,699701.115453656
89,2016-11-13 19:00:00,5334327.80837477,692655.894593871
90,2016-11-14 19:00:00,5335486.45892593,687595.474365033
91,2016-11-14 19:00:00,5335486.45892593,687595.474365033
92,2016-11-14 19:00:00,5335486.45892593,687595.474365033
93,2016-11-14 19:30:00,5334327.80837477,692655.894593871
94,2016-11-15 19:30:00,5334327.80837477,692655.894593871
95,2016-11-16 18:00:00,5335017.31013438,699701.115453656
96,2016-11-16 19:00:00,5334327.80837477,692655.894593871
97,2016-11-16 19:00:00,5335486.45892593,687595.474365033
98,2016-11-16 19:00:00,5334327.80837477,692655.894593871
99,2016-11-17 10:00:00,5341539.63337759,694047.753758906
100,2016-11-17 18:00:00,5335017.31013438,699701.115453656
101,2016-11-17 19:00:00,5335486.45892593,687595.474365033
102,2016-11-17 19:00:00,5334327.80837477,692655.894593871
103,2016-11-17 19:00:00,5335486.45892593,687595.474365033
104,2016-11-17 19:00:00,5334327.80837477,692655.894593871
105,2016-11-18 08:00:00,5341539.63337759,694047.753758906
106,2016-11-18 09:00:00,5341539.63337759,694047.753758906
107,2016-11-18 18:00:00,5335017.31013438,699701.115453656
108,2016-11-18 19:00:00,5335486.45892593,687595.474365033
109,2016-11-18 19:00:00,5335486.45892593,687595.474365033
110,2016-11-18 19:00:00,5334327.80837477,692655.894593871
111,2016-11-18 20:00:00,5335486.45892593,687595.474365033
112,2016-11-18 22:00:00,5334327.80837477,692655.894593871
113,2016-11-19 08:00:00,5341539.63337759,694047.753758906
114,2016-11-19 09:00:00,5341539.63337759,694047.753758906
115,2016-11-19 15:00:00,5334327.80837477,692655.894593871
116,2016-11-19 18:00:00,5335017.31013438,699701.115453656
117,2016-11-19 18:00:00,5334327.80837477,692655.894593871
118,2016-11-19 19:00:00,5335486.45892593,687595.474365033
119,2016-11-19 19:00:00,5341227.7712635,693793.715532079
120,2016-11-19 19:00:00,5334327.80837477,692655.894593871
121,2016-11-19 19:00:00,5335486.45892593,687595.474365033
122,2016-11-19 19:30:00,5333392.77042256,687914.199211603
123,2016-11-20 10:00:00,5335563.692846,689682.180909222
124,2016-11-20 10:00:00,5334327.80837477,692655.894593871
125,2016-11-20 10:00:00,5334327.80837477,692655.894593871
126,2016-11-20 12:00:00,5334327.80837477,692655.894593871
127,2016-11-20 17:00:00,5335017.31013438,699701.115453656
128,2016-11-20 18:00:00,5334327.80837477,692655.894593871
129,2016-11-20 18:00:00,5334327.80837477,692655.894593871
130,2016-11-21 19:00:00,5335486.45892593,687595.474365033
131,2016-11-21 19:00:00,5335486.45892593,687595.474365033
132,2016-11-21 19:00:00,5334327.80837477,692655.894593871
133,2016-11-21 19:00:00,5335486.45892593,687595.474365033
134,2016-11-21 19:15:00,5343951.16855528,694951.221362176
135,2016-11-22 18:00:00,5335017.31013438,699701.115453656
136,2016-11-22 19:00:00,5335486.45892593,687595.474365033
137,2016-11-22 19:00:00,5335486.45892593,687595.474365033
138,2016-11-22 19:00:00,5334327.80837477,692655.894593871
139,2016-11-23 08:30:00,5335011.08641995,700692.645876424
140,2016-11-23 08:30:00,5335011.08641995,700692.645876424
141,2016-11-23 09:30:00,5335011.08641995,700692.645876424
142,2016-11-23 10:00:00,5334041.7115832,689685.217272229
143,2016-11-23 19:00:00,5335486.45892593,687595.474365033
144,2016-11-23 19:00:00,5334327.80837477,692655.894593871
145,2016-11-23 19:00:00,5334327.80837477,692655.894593871
146,2016-11-23 19:30:00,5334041.7115832,689685.217272229
147,2016-11-23 20:00:00,5335486.45892593,687595.474365033
148,2016-11-24 08:30:00,5335011.08641995,700692.645876424
149,2016-11-24 08:30:00,5335011.08641995,700692.645876424
150,2016-11-24 09:30:00,5335011.08641995,700692.645876424
151,2016-11-24 13:00:00,5334041.7115832,689685.217272229
152,2016-11-24 18:00:00,5335017.31013438,699701.115453656
153,2016-11-24 19:00:00,5335486.45892593,687595.474365033
154,2016-11-24 19:00:00,5335486.45892593,687595.474365033
155,2016-11-24 19:00:00,5334327.80837477,692655.894593871
156,2016-11-25 08:30:00,5335011.08641995,700692.645876424
157,2016-11-25 08:30:00,5335011.08641995,700692.645876424
158,2016-11-25 09:30:00,5335011.08641995,700692.645876424
159,2016-11-25 13:00:00,5334041.7115832,689685.217272229
160,2016-11-25 18:00:00,5335017.31013438,699701.115453656
161,2016-11-25 18:45:00,5335486.45892593,687595.474365033
162,2016-11-25 19:00:00,5341227.7712635,693793.715532079
163,2016-11-25 19:00:00,5335486.45892593,687595.474365033
164,2016-11-25 21:00:00,5334327.80837477,692655.894593871
165,2016-11-25 23:00:00,5334327.80837477,692655.894593871
166,2016-11-26 08:30:00,5335011.08641995,700692.645876424
167,2016-11-26 08:30:00,5335011.08641995,700692.645876424
168,2016-11-26 09:30:00,5335011.08641995,700692.645876424
169,2016-11-26 10:00:00,5334041.7115832,689685.217272229
170,2016-11-26 16:00:00,5334041.7115832,689685.217272229
171,2016-11-26 17:30:00,5343951.16855528,694951.221362176
172,2016-11-26 18:00:00,5335017.31013438,699701.115453656
173,2016-11-26 18:30:00,5334041.7115832,689685.217272229
174,2016-11-26 18:45:00,5335486.45892593,687595.474365033
175,2016-11-26 19:00:00,5335486.45892593,687595.474365033
176,2016-11-27 08:30:00,5335011.08641995,700692.645876424
177,2016-11-27 08:30:00,5335011.08641995,700692.645876424
178,2016-11-27 09:30:00,5335011.08641995,700692.645876424
179,2016-11-27 10:00:00,5334041.7115832,689685.217272229
180,2016-11-27 11:00:00,5334041.7115832,689685.217272229
181,2016-11-27 11:00:00,5335486.45892593,687595.474365033
182,2016-11-27 17:00:00,5335017.31013438,699701.115453656
183,2016-11-27 18:00:00,5334041.7115832,689685.217272229
184,2016-11-27 19:00:00,5335486.45892593,687595.474365033
185,2016-11-27 19:00:00,5334327.80837477,692655.894593871
186,2016-11-28 13:00:00,5334041.7115832,689685.217272229
187,2016-11-28 19:00:00,5335486.45892593,687595.474365033
188,2016-11-28 19:00:00,5341227.7712635,693793.715532079
189,2016-11-28 19:00:00,5334327.80837477,692655.894593871
190,2016-11-28 19:00:00,5335486.45892593,687595.474365033
191,2016-11-28 19:00:00,5334327.80837477,692655.894593871
192,2016-11-29 13:00:00,5334041.7115832,689685.217272229
193,2016-11-29 13:00:00,5334041.7115832,689685.217272229
194,2016-11-29 18:00:00,5335017.31013438,699701.115453656
195,2016-11-29 18:30:00,5334041.7115832,689685.217272229
196,2016-11-29 19:00:00,5341227.7712635,693793.715532079
197,2016-11-29 19:00:00,5334327.80837477,692655.894593871
198,2016-11-29 19:30:00,5334327.80837477,692655.894593871
199,2016-11-29 19:30:00,5333342.38036574,693987.311952082
200,2016-11-30 13:00:00,5334041.7115832,689685.217272229
201,2016-11-30 18:00:00,5335017.31013438,699701.115453656
202,2016-11-30 18:00:00,5334041.7115832,689685.217272229
203,2016-11-30 19:00:00,5333392.77042256,687914.199211603
204,2016-11-30 19:00:00,5333392.77042256,687914.199211603
205,2016-11-30 19:00:00,5335486.45892593,687595.474365033
